,HomeboxYesandNo,latitude,longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
59,Homebox ,48.9782826,2.2350126,Garage Central Sannois,48.97933432,2.23595829,Auto Workshop
60,Homebox ,48.9782826,2.2350126,Ed,48.97960167349353,2.237658329530073,Convenience Store
61,Homebox ,48.9782826,2.2350126,Pizza Hut,48.9816614,2.2319299,Pizza Place
62,Homebox ,48.8301492,2.6751953,Hotel Novotel Marne La Vallée Collégien,48.83052412821331,2.6789290137860684,Hotel
63,Homebox ,48.8301492,2.6751953,hotelF1 Marne la Vallée Noisy le Grand Champs,48.83043882738779,2.6800780457057685,Hotel
64,Homebox ,48.8301492,2.6751953,Buffalo Grill,48.82777243125586,2.679624426351685,Steakhouse
65,Homebox ,48.8301492,2.6751953,Graphipub,48.82774379999999,2.6742915000000003,Advertising Agency
66,Homebox ,48.8301492,2.6751953,Novotel Restaurant,48.8302380741256,2.679135171047703,French Restaurant
67,Homebox ,48.8301492,2.6751953,Pizza Del Arte,48.828995163161345,2.6802305162204836,Pizza Place
68,Homebox ,48.8301492,2.6751953,Hôtel F1,48.82936087300196,2.6811522835309383,Hotel
69,Homebox ,48.8301492,2.6751953,LOXAM Rental Collégien,48.83023827,2.66892686,Rental Service
70,Homebox ,48.9634253,2.0337488,lidl,48.9636602282439,2.030261305473376,Convenience Store
71,Homebox ,49.236769,2.46682932935138,Cora,49.235366065745104,2.4698638916015625,Department Store
72,Homebox ,49.236769,2.46682932935138,Decathlon,49.238571945352966,2.4680919153443033,Sporting Goods Shop
73,Homebox ,49.236769,2.46682932935138,McDonald's,49.23339239543566,2.466897085075497,Fast Food Restaurant
74,Homebox ,49.236769,2.46682932935138,Fnac Saint Maximin,49.24007348907053,2.4679970741271973,Department Store
75,Homebox ,49.236769,2.46682932935138,Boulanger Creil,49.236954299999994,2.4675694,Electronics Store
76,Homebox ,49.236769,2.46682932935138,Little Italy Factory,49.238075,2.4649937,Italian Restaurant
77,Homebox ,49.236769,2.46682932935138,Zone Commerciale Saint-Maximin,49.23517803809465,2.468626073321147,Shopping Mall
78,Homebox ,49.236769,2.46682932935138,Cultura,49.238844,2.467142,Bookstore
79,Homebox ,49.236769,2.46682932935138,Quick,49.235125697055366,2.4630841722382284,Fast Food Restaurant
80,Homebox ,49.236769,2.46682932935138,Darty,49.239917999999996,2.469468,Electronics Store
81,Privat ,48.8561374,2.3573818,Miznon,48.8572006214244,2.358957328478068,Israeli Restaurant
82,Privat ,48.8561374,2.3573818,Les Mots à la Bouche,48.85771855127609,2.3573224499492995,Bookstore
83,Privat ,48.8561374,2.3573818,59 Rivoli,48.8561732,2.3579173,Art Gallery
84,Privat ,48.8561374,2.3573818,Mariage Frères,48.85776928296051,2.356618019905924,Tea Room
85,Privat ,48.8561374,2.3573818,Aux Merveilleux de Fred,48.85568607650127,2.356368899345398,Dessert Shop
86,Privat ,48.8561374,2.3573818,Florence Kahn,48.85730682545885,2.3590140076755444,Deli / Bodega
87,Privat ,48.8561374,2.3573818,Maison Européenne de la Photographie,48.85512804426985,2.3589478433132167,Art Museum
88,Privat ,48.8561374,2.3573818,L'As du Fallafel,48.85741376683435,2.3590779304504395,Falafel Restaurant
89,Privat ,48.8561374,2.3573818,Vingt Vins d'Art,48.85521431940058,2.3579396506069488,Wine Bar
90,Privat ,48.8561374,2.3573818,Comme à Lisbonne,48.856767485058,2.3564618824016477,Café
91,Privat ,48.8585635,2.3533957,Fleux',48.85876287681193,2.3541614413261414,Furniture / Home Store
92,Privat ,48.8585635,2.3533957,Comptoir Gourmet,48.859958,2.354374,Restaurant
93,Privat ,48.8585635,2.3533957,Maison Aleph,48.857347999999995,2.354873,Pastry Shop
94,Privat ,48.8585635,2.3533957,Benedict,48.858208153650004,2.3560811411196494,French Restaurant
95,Privat ,48.8585635,2.3533957,Galerie Azzedine Alaïa,48.85754477324397,2.3552169725375203,Art Gallery
96,Privat ,48.8585635,2.3533957,Huygens Cosmetique Naturelle Sur Mesure,48.85893757904192,2.353777885437012,Cosmetics Shop
97,Privat ,48.8585635,2.3533957,Nature & Découvertes,48.85824916074779,2.3561629743718697,Miscellaneous Shop
98,Privat ,48.8585635,2.3533957,Librairie Flammarion,48.86026970760012,2.352148283025599,Bookstore
99,Privat ,48.8585635,2.3533957,Place de l'Hôtel de Ville – Esplanade de la Libération,48.856924757269134,2.351411815667368,Plaza
100,Privat ,48.8585635,2.3533957,Fontaine Stravinsky,48.8595783989043,2.35155527020609,Fountain
101,Privat ,48.8585635,2.3533957,Fleux',48.85876287681193,2.3541614413261414,Furniture / Home Store
102,Privat ,48.8585635,2.3533957,Comptoir Gourmet,48.859958,2.354374,Restaurant
103,Privat ,48.8585635,2.3533957,Maison Aleph,48.857347999999995,2.354873,Pastry Shop
104,Privat ,48.8585635,2.3533957,Benedict,48.858208153650004,2.3560811411196494,French Restaurant
105,Privat ,48.8585635,2.3533957,Galerie Azzedine Alaïa,48.85754477324397,2.3552169725375203,Art Gallery
106,Privat ,48.8585635,2.3533957,Huygens Cosmetique Naturelle Sur Mesure,48.85893757904192,2.353777885437012,Cosmetics Shop
107,Privat ,48.8585635,2.3533957,Nature & Découvertes,48.85824916074779,2.3561629743718697,Miscellaneous Shop
108,Privat ,48.8585635,2.3533957,Librairie Flammarion,48.86026970760012,2.352148283025599,Bookstore
109,Privat ,48.8585635,2.3533957,Place de l'Hôtel de Ville – Esplanade de la Libération,48.856924757269134,2.351411815667368,Plaza
110,Privat ,48.8585635,2.3533957,Fontaine Stravinsky,48.8595783989043,2.35155527020609,Fountain
111,Privat ,48.8585635,2.3533957,Fleux',48.85876287681193,2.3541614413261414,Furniture / Home Store
112,Privat ,48.8585635,2.3533957,Comptoir Gourmet,48.859958,2.354374,Restaurant
113,Privat ,48.8585635,2.3533957,Maison Aleph,48.857347999999995,2.354873,Pastry Shop
114,Privat ,48.8585635,2.3533957,Benedict,48.858208153650004,2.3560811411196494,French Restaurant
115,Privat ,48.8585635,2.3533957,Galerie Azzedine Alaïa,48.85754477324397,2.3552169725375203,Art Gallery
116,Privat ,48.8585635,2.3533957,Huygens Cosmetique Naturelle Sur Mesure,48.85893757904192,2.353777885437012,Cosmetics Shop
117,Privat ,48.8585635,2.3533957,Nature & Découvertes,48.85824916074779,2.3561629743718697,Miscellaneous Shop
118,Privat ,48.8585635,2.3533957,Librairie Flammarion,48.86026970760012,2.352148283025599,Bookstore
119,Privat ,48.8585635,2.3533957,Place de l'Hôtel de Ville – Esplanade de la Libération,48.856924757269134,2.351411815667368,Plaza
120,Privat ,48.8585635,2.3533957,Fontaine Stravinsky,48.8595783989043,2.35155527020609,Fountain
121,Privat ,48.8585635,2.3533957,Fleux',48.85876287681193,2.3541614413261414,Furniture / Home Store
122,Privat ,48.8585635,2.3533957,Comptoir Gourmet,48.859958,2.354374,Restaurant
123,Privat ,48.8585635,2.3533957,Maison Aleph,48.857347999999995,2.354873,Pastry Shop
124,Privat ,48.8585635,2.3533957,Benedict,48.858208153650004,2.3560811411196494,French Restaurant
125,Privat ,48.8585635,2.3533957,Galerie Azzedine Alaïa,48.85754477324397,2.3552169725375203,Art Gallery
126,Privat ,48.8585635,2.3533957,Huygens Cosmetique Naturelle Sur Mesure,48.85893757904192,2.353777885437012,Cosmetics Shop
127,Privat ,48.8585635,2.3533957,Nature & Découvertes,48.85824916074779,2.3561629743718697,Miscellaneous Shop
128,Privat ,48.8585635,2.3533957,Librairie Flammarion,48.86026970760012,2.352148283025599,Bookstore
129,Privat ,48.8585635,2.3533957,Place de l'Hôtel de Ville – Esplanade de la Libération,48.856924757269134,2.351411815667368,Plaza
130,Privat ,48.8585635,2.3533957,Fontaine Stravinsky,48.8595783989043,2.35155527020609,Fountain
131,Privat ,48.8641217,2.3515042,Passage du Grand Cerf,48.86476,2.349486,Pedestrian Plaza
132,Privat ,48.8641217,2.3515042,Partisan,48.864754359585454,2.3530692174680863,Coffee Shop
133,Privat ,48.8641217,2.3515042,Ma Cave Fleury,48.86550541020573,2.3505443356156106,Wine Bar
134,Privat ,48.8641217,2.3515042,Trois Fois plus de Piment,48.8628,2.35237,Szechuan Restaurant
135,Privat ,48.8641217,2.3515042,La Maison du Saké,48.864521038642685,2.349226081453736,Japanese Restaurant
136,Privat ,48.8641217,2.3515042,Raviolis Chinois Nord-Est,48.862851,2.3495470000000003,Chinese Restaurant
137,Privat ,48.8641217,2.3515042,Le Derrière,48.8644695009521,2.3541775345802307,French Restaurant
138,Privat ,48.8641217,2.3515042,Bo&Mie,48.864049555121824,2.3504438996315,Bakery
139,Privat ,48.8641217,2.3515042,Rice & Fish,48.86514978834518,2.3514352018069618,Sushi Restaurant
140,Privat ,48.8641217,2.3515042,Hôtel Les Bains,48.86383020701482,2.351970076560974,Hotel
141,Privat ,48.8675804,2.3524475,La Gaîté Lyrique,48.86696058269961,2.353601118831604,Concert Hall
142,Privat ,48.8675804,2.3524475,Tealer,48.86804419126771,2.3505592346191406,Boutique
143,Privat ,48.8675804,2.3524475,Le 123 Sébastopol,48.86758494974488,2.3533225471432093,Hotel
144,Privat ,48.8675804,2.3524475,Player One,48.86827151555632,2.352039143443108,Bar
145,Privat ,48.8675804,2.3524475,Bon Esprit - Craft Beers & Good Spirits,48.867862,2.355034,Bar
146,Privat ,48.8675804,2.3524475,Edgar,48.868114,2.34996,Brasserie
147,Privat ,48.8675804,2.3524475,Ristorante National - Cucina Italiana,48.86598251248973,2.353209296590737,Italian Restaurant
148,Privat ,48.8675804,2.3524475,Ma Cave Fleury,48.86550541020573,2.3505443356156106,Wine Bar
149,Privat ,48.8675804,2.3524475,Herbarium,48.86588262918233,2.3532240092754364,Cocktail Bar
150,Privat ,48.8675804,2.3524475,Pizza Rossi,48.86887833432926,2.3530538121629223,Pizza Place
151,Privat ,48.8565526,2.3690147,Chez Janou,48.85664435397839,2.36724340761729,Provençal Restaurant
152,Privat ,48.8565526,2.3690147,Marché Bastille,48.85602920150121,2.3703046826319336,Market
153,Privat ,48.8565526,2.3690147,Fragments,48.85791524220618,2.367343778624903,Coffee Shop
154,Privat ,48.8565526,2.3690147,Moonshiner,48.85569754757345,2.371200174093246,Cocktail Bar
155,Privat ,48.8565526,2.3690147,Da Vito,48.855669035336284,2.371230348944664,Pizza Place
156,Privat ,48.8565526,2.3690147,Amici Miei,48.85818582571906,2.3693642020225525,Pizza Place
157,Privat ,48.8565526,2.3690147,Hôtel Pavillon de la Reine,48.856386591661504,2.366008934683876,Hotel
158,Privat ,48.8565526,2.3690147,La Moustache Blanche,48.85452477876368,2.3673031736565684,Beer Store
159,Privat ,48.8565526,2.3690147,Le Petit Marché,48.857259216773365,2.3662138652687053,French Restaurant
160,Privat ,48.8565526,2.3690147,Place des Vosges,48.85562342675294,2.365531325340271,Plaza
161,Privat ,48.8612416,2.3398064,Cour Carrée du Louvre,48.8603598795578,2.338542938232421,Pedestrian Plaza
162,Privat ,48.8612416,2.3398064,Place du Louvre,48.859840999999996,2.340822,Plaza
163,Privat ,48.8612416,2.3398064,Le Fumoir,48.860424287991854,2.3408684134483337,Cocktail Bar
164,Privat ,48.8612416,2.3398064,Boutique yam'Tcha,48.86170984310571,2.3423800220007633,Chinese Restaurant
165,Privat ,48.8612416,2.3398064,La Vénus de Milo (Vénus de Milo),48.85994342850432,2.3372340202331543,Exhibit
166,Privat ,48.8612416,2.3398064,Église Saint-Germain-l'Auxerrois (Église Saint-Germain l'Auxerrois),48.85951991540482,2.341305613517761,Church
167,Privat ,48.8612416,2.3398064,Musée du Louvre,48.86084691113991,2.336440086364746,Art Museum
168,Privat ,48.8612416,2.3398064,Le Café Blanc,48.862719,2.339578,Bar
169,Privat ,48.8612416,2.3398064,Pret A Manger,48.861811430060314,2.341311331482022,Sandwich Place
170,Privat ,48.8612416,2.3398064,Claus - La table du petit-déjeuner,48.862457,2.34062,Breakfast Spot
171,Privat ,48.8689405,2.3467031000000005,The Hoxton Paris,48.8701794,2.3466316000000003,Hotel
172,Privat ,48.8689405,2.3467031000000005,Hoppy Corner,48.86772619731469,2.3473745971313704,Beer Bar
173,Privat ,48.8689405,2.3467031000000005,L'Appartement Sézane,48.869574181900205,2.345060413685246,Women's Store
174,Privat ,48.8689405,2.3467031000000005,Lockwood,48.867726744282294,2.3469454610004647,Cocktail Bar
175,Privat ,48.8689405,2.3467031000000005,Frenchie Bar A Vins,48.86781182099964,2.3479165881872177,Wine Bar
176,Privat ,48.8689405,2.3467031000000005,Boneshaker Doughnuts,48.867857257243884,2.347340691499821,Donut Shop
177,Privat ,48.8689405,2.3467031000000005,La Boissonnière,48.869418597019404,2.3476892709732056,Bar
178,Privat ,48.8689405,2.3467031000000005,Le Grand Rex,48.87047010660982,2.347640991210937,Indie Movie Theater
179,Privat ,48.8689405,2.3467031000000005,Le Distrait,48.869892,2.349226,Bar
180,Privat ,48.8689405,2.3467031000000005,Comedy Club,48.87064568961843,2.348375540100513,Comedy Club
181,Privat ,48.8760238,2.3581927000000005,BMK Paris-Bamako,48.87464593409851,2.356548607349396,African Restaurant
182,Privat ,48.8760238,2.3581927000000005,Marrow,48.87442541960633,2.3588848114013667,Café
183,Privat ,48.8760238,2.3581927000000005,Les Orientalistes,48.87550152112596,2.3588445782661442,Mediterranean Restaurant
184,Privat ,48.8760238,2.3581927000000005,Marks & Spencer Food,48.87674195537729,2.3584860723718233,Food & Drink Shop
185,Privat ,48.8760238,2.3581927000000005,Marché Saint-Quentin,48.87683066585309,2.355233825623974,Farmers Market
186,Privat ,48.8760238,2.3581927000000005,Le Delly's,48.878458299848006,2.3578523952671735,African Restaurant
187,Privat ,48.8760238,2.3581927000000005,Le Grand Amour Restaurant,48.87456598277864,2.356321398567025,Restaurant
188,Privat ,48.8760238,2.3581927000000005,Café A,48.875235616862966,2.360022095087153,Café
189,Privat ,48.8760238,2.3581927000000005,Le Grand Amour Hôtel,48.874538927210786,2.35626516064086,Hotel
190,Privat ,48.8760238,2.3581927000000005,L'Ours Bar,48.87460441775803,2.3544449149534543,Cocktail Bar
191,Privat ,48.8760238,2.3581927000000005,BMK Paris-Bamako,48.87464593409851,2.356548607349396,African Restaurant
192,Privat ,48.8760238,2.3581927000000005,Marrow,48.87442541960633,2.3588848114013667,Café
193,Privat ,48.8760238,2.3581927000000005,Les Orientalistes,48.87550152112596,2.3588445782661442,Mediterranean Restaurant
194,Privat ,48.8760238,2.3581927000000005,Marks & Spencer Food,48.87674195537729,2.3584860723718233,Food & Drink Shop
195,Privat ,48.8760238,2.3581927000000005,Marché Saint-Quentin,48.87683066585309,2.355233825623974,Farmers Market
196,Privat ,48.8760238,2.3581927000000005,Le Delly's,48.878458299848006,2.3578523952671735,African Restaurant
197,Privat ,48.8760238,2.3581927000000005,Le Grand Amour Restaurant,48.87456598277864,2.356321398567025,Restaurant
198,Privat ,48.8760238,2.3581927000000005,Café A,48.875235616862966,2.360022095087153,Café
199,Privat ,48.8760238,2.3581927000000005,Le Grand Amour Hôtel,48.874538927210786,2.35626516064086,Hotel
200,Privat ,48.8760238,2.3581927000000005,L'Ours Bar,48.87460441775803,2.3544449149534543,Cocktail Bar
201,Privat ,48.8760238,2.3581927000000005,BMK Paris-Bamako,48.87464593409851,2.356548607349396,African Restaurant
202,Privat ,48.8760238,2.3581927000000005,Marrow,48.87442541960633,2.3588848114013667,Café
203,Privat ,48.8760238,2.3581927000000005,Les Orientalistes,48.87550152112596,2.3588445782661442,Mediterranean Restaurant
204,Privat ,48.8760238,2.3581927000000005,Marks & Spencer Food,48.87674195537729,2.3584860723718233,Food & Drink Shop
205,Privat ,48.8760238,2.3581927000000005,Marché Saint-Quentin,48.87683066585309,2.355233825623974,Farmers Market
206,Privat ,48.8760238,2.3581927000000005,Le Delly's,48.878458299848006,2.3578523952671735,African Restaurant
207,Privat ,48.8760238,2.3581927000000005,Le Grand Amour Restaurant,48.87456598277864,2.356321398567025,Restaurant
208,Privat ,48.8760238,2.3581927000000005,Café A,48.875235616862966,2.360022095087153,Café
209,Privat ,48.8760238,2.3581927000000005,Le Grand Amour Hôtel,48.874538927210786,2.35626516064086,Hotel
210,Privat ,48.8760238,2.3581927000000005,L'Ours Bar,48.87460441775803,2.3544449149534543,Cocktail Bar
211,Privat ,48.8760238,2.3581927000000005,BMK Paris-Bamako,48.87464593409851,2.356548607349396,African Restaurant
212,Privat ,48.8760238,2.3581927000000005,Marrow,48.87442541960633,2.3588848114013667,Café
213,Privat ,48.8760238,2.3581927000000005,Les Orientalistes,48.87550152112596,2.3588445782661442,Mediterranean Restaurant
214,Privat ,48.8760238,2.3581927000000005,Marks & Spencer Food,48.87674195537729,2.3584860723718233,Food & Drink Shop
215,Privat ,48.8760238,2.3581927000000005,Marché Saint-Quentin,48.87683066585309,2.355233825623974,Farmers Market
216,Privat ,48.8760238,2.3581927000000005,Le Delly's,48.878458299848006,2.3578523952671735,African Restaurant
217,Privat ,48.8760238,2.3581927000000005,Le Grand Amour Restaurant,48.87456598277864,2.356321398567025,Restaurant
218,Privat ,48.8760238,2.3581927000000005,Café A,48.875235616862966,2.360022095087153,Café
219,Privat ,48.8760238,2.3581927000000005,Le Grand Amour Hôtel,48.874538927210786,2.35626516064086,Hotel
220,Privat ,48.8760238,2.3581927000000005,L'Ours Bar,48.87460441775803,2.3544449149534543,Cocktail Bar
221,Privat ,48.8695072,2.3314533,Place de l'Opéra,48.87086688393964,2.3321523722815702,Plaza
222,Privat ,48.8695072,2.3314533,Hôtel Park Hyatt Paris-Vendôme,48.86889283393747,2.330338060855865,Hotel
223,Privat ,48.8695072,2.3314533,Pierre Hermé,48.86822151447183,2.333396617684349,Pastry Shop
224,Privat ,48.8695072,2.3314533,La Cure Gourmande,48.8697887450351,2.3324006795883183,Candy Store
225,Privat ,48.8695072,2.3314533,Éléphant Paname,48.869328008845166,2.3301026897176005,Art Gallery
226,Privat ,48.8695072,2.3314533,Académie Nationale de Musique,48.87112287829175,2.331461906433105,Historic Site
227,Privat ,48.8695072,2.3314533,Hôtel Scribe,48.870537148418215,2.329675555229187,Hotel
228,Privat ,48.8695072,2.3314533,Cartier,48.8692635,2.3310218,Jewelry Store
229,Privat ,48.8695072,2.3314533,Charvet,48.8683121525274,2.3302816660179584,Men's Store
230,Privat ,48.8695072,2.3314533,InterContinental Paris Le Grand Hôtel,48.870834,2.3304270000000002,Hotel
231,Privat ,48.8748629,2.342939,Papacionu,48.87479244142873,2.342916806677465,Corsican Restaurant
232,Privat ,48.8748629,2.342939,Picto,48.87590813725393,2.3439459877145854,Sandwich Place
233,Privat ,48.8748629,2.342939,Hôtel Parister,48.875350262041394,2.344384366678277,Hotel
234,Privat ,48.8748629,2.342939,Bien Élevé,48.87405226426158,2.343173137593862,Steakhouse
235,Privat ,48.8748629,2.342939,À la Mère de Famille,48.87397,2.342263,Candy Store
236,Privat ,48.8748629,2.342939,Monbleu,48.874103999999996,2.3421495,Cheese Shop
237,Privat ,48.8748629,2.342939,Tous,48.876537,2.343898,French Restaurant
238,Privat ,48.8748629,2.342939,Abri Soba,48.875041088876465,2.34439229409706,Soba Restaurant
239,Privat ,48.8748629,2.342939,Loco,48.873772267222535,2.3425792781995085,Argentinian Restaurant
240,Privat ,48.8748629,2.342939,Passage Verdeau,48.8735,2.34232,Pedestrian Plaza
241,Privat ,48.8767507,2.3539485,Ma Kitchen,48.87701802448486,2.3514073764439196,Korean Restaurant
242,Privat ,48.8767507,2.3539485,Kashmir House,48.87698542721185,2.3522046218805643,Indian Restaurant
243,Privat ,48.8767507,2.3539485,Mussubi,48.87752961220557,2.351537208593247,Japanese Restaurant
244,Privat ,48.8767507,2.3539485,Marché Saint-Quentin,48.87683066585309,2.355233825623974,Farmers Market
