,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
63,[],48.9782826,2.2350126,Garage Central Sannois,48.97933432,2.23595829,Auto Workshop
64,[],48.9782826,2.2350126,Ed,48.97960167349353,2.237658329530073,Convenience Store
65,[],48.695671000000004,2.2893847999999997,La Foggia,48.693935294611386,2.2929266323575828,Pizza Place
66,[],48.695671000000004,2.2893847999999997,Autovision CABM Longjumeau,48.69834641,2.29014968,Auto Workshop
67,[],48.695671000000004,2.2893847999999997,Parc Nativelle,48.692552475824485,2.2903954116002008,Park
68,[],48.695671000000004,2.2893847999999997,Restaurant Étoile d'Anatolie,48.69660849755375,2.294777721560999,Greek Restaurant
69,[],48.695671000000004,2.2893847999999997,Action,48.694662292746685,2.28356867988623,Discount Store
70,[],48.695671000000004,2.2893847999999997,Domino's Pizza,48.697275,2.294907,Pizza Place
71,[],48.695671000000004,2.2893847999999997,ELECTRO DEPOT SAULX LES CHARTREUX,48.694704,2.283388,Electronics Store
72,[],48.8301492,2.6751953,Hotel Novotel Marne La Vallée Collégien,48.83052412821331,2.678929013786068,Hotel
73,[],48.8301492,2.6751953,hotelF1 Marne la Vallée Noisy le Grand Champs,48.83043882738779,2.6800780457057685,Hotel
74,[],48.8301492,2.6751953,Buffalo Grill,48.82777243125586,2.6796244263516855,Steakhouse
75,[],48.8301492,2.6751953,Graphipub,48.8277438,2.6742915,Advertising Agency
76,[],48.8301492,2.6751953,Novotel Restaurant,48.8302380741256,2.679135171047703,French Restaurant
77,[],48.8301492,2.6751953,Jardins Loisirs,48.82763791,2.67824675,Garden Center
78,[],48.8301492,2.6751953,Pizza Del Arte,48.82899516316134,2.680230516220484,Pizza Place
79,[],48.8301492,2.6751953,Hôtel F1,48.82936087300195,2.6811522835309383,Hotel
80,[],48.8301492,2.6751953,LOXAM Rental Collégien,48.83023827,2.66892686,Rental Service
81,[],48.627477299999995,2.4055796000000003,UrbanSoccer - Evry,48.62901010989455,2.4070746981503497,Soccer Field
82,[],48.627477299999995,2.4055796000000003,Palais 91,48.63001133980511,2.4031873990759074,Nightclub
83,[],48.9634253,2.0337488,lidl,48.96366022824391,2.0302613054733754,Convenience Store
84,[],48.801635299999994,1.9686476000000002,La Trattoria,48.80221439461264,1.9668698004693137,Italian Restaurant
85,[],48.801635299999994,1.9686476000000002,La Criée Plaisir,48.801554026386256,1.9659065605977581,Seafood Restaurant
86,[],48.801635299999994,1.9686476000000002,Le Prime Time,48.80272700083529,1.968352631550196,Restaurant
87,[],48.801635299999994,1.9686476000000002,Lenotre,48.798778928456876,1.967838105160514,French Restaurant
88,[],48.801635299999994,1.9686476000000002,Hôtel F1 Plaisir,48.80292754231067,1.9726896286010742,Hotel
89,[],48.760267999999996,1.929617,La Marnière,48.76270774061261,1.9266110785004362,Farmers Market
90,[],48.760267999999996,1.929617,Decathlon,48.75799238159427,1.9351226091384888,Sporting Goods Shop
91,[],48.760267999999996,1.929617,Electro dépot,48.759088585577004,1.9344870261587976,Electronics Store
92,[],48.760267999999996,1.929617,Hôtel Balladins,48.75672278217548,1.9330814480781555,Hotel
93,[],48.587956299999995,2.5906647,Kiloutou Energie,48.58909664495807,2.58897690674587,Hardware Store
94,[],48.587956299999995,2.5906647,Noz - Savigny-le-temple,48.58613204956055,2.591855049133301,Department Store
95,[],48.587956299999995,2.5906647,Mister Minit,48.588758,2.595777,Shoe Repair
96,[],48.587956299999995,2.5906647,Le Golf,48.584466960914654,2.592209267953215,Asian Restaurant
97,[],49.236769,2.4668293293513797,Cora,49.235366065745104,2.4698638916015625,Department Store
98,[],49.236769,2.4668293293513797,Decathlon,49.23857194535297,2.468091915344303,Sporting Goods Shop
99,[],49.236769,2.4668293293513797,Fnac Saint Maximin,49.24007348907053,2.4679970741271973,Department Store
100,[],49.236769,2.4668293293513797,McDonald's,49.23339239543566,2.466897085075497,Fast Food Restaurant
